Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity 
2025-11-08 11:56:20.260678,4,2,0,0
2025-11-08 11:56:21.088641,4,2,0,0
2025-11-08 11:56:21.873212,4,2,0,0
2025-11-08 11:56:22.574815,4,2,0,0
2025-11-08 11:56:23.585448,4,2,0,0
2025-11-08 11:56:24.343290,4,2,0,0
2025-11-08 11:56:25.130011,4,4,0,0
2025-11-08 11:56:25.804879,4,2,0,0
2025-11-08 11:56:26.750362,4,4,0,0
2025-11-08 11:56:27.504579,3,2,0,0
2025-11-08 11:56:28.122367,4,2,0,0
2025-11-08 11:56:28.885788,4,2,0,0
2025-11-08 11:56:29.854464,4,2,0,0
2025-11-08 11:56:30.602092,4,2,0,0
2025-11-08 11:56:31.254650,4,2,0,0
2025-11-08 11:56:32.100218,4,2,0,0
2025-11-08 11:56:32.999962,4,2,0,0
2025-11-08 11:56:33.611602,4,2,0,0
2025-11-08 11:56:34.230789,4,2,0,0
2025-11-08 11:56:35.050443,4,2,0,0
2025-11-08 11:56:35.870004,4,2,0,0
2025-11-08 11:56:36.524707,3,2,0,0
2025-11-08 11:56:37.254757,3,2,0,0
2025-11-08 11:56:38.268659,3,2,0,0
2025-11-08 11:56:39.159259,4,2,0,0
2025-11-08 11:56:39.910491,4,2,0,0
2025-11-08 11:56:40.757455,4,2,0,0
2025-11-08 11:56:41.668287,4,4,0,0
2025-11-08 11:56:42.487419,4,4,0,0
2025-11-08 11:56:43.367476,4,3,0,0
2025-11-08 11:56:44.242853,4,3,0,0
2025-11-08 11:56:45.223610,4,3,0,0
2025-11-08 11:56:45.942354,4,3,0,0
2025-11-08 11:56:46.842522,4,3,0,0
2025-11-08 11:56:47.709939,5,4,0,0
2025-11-08 11:56:48.616255,5,4,0,0
2025-11-08 11:56:49.511072,4,2,0,0
2025-11-08 11:56:50.297997,4,2,0,0
2025-11-08 11:56:51.013123,4,2,0,0
2025-11-08 11:56:51.818257,4,2,0,0
2025-11-08 11:56:52.684077,4,2,0,0
2025-11-08 11:56:53.479739,4,2,0,0
2025-11-08 11:56:54.243467,4,2,0,0
2025-11-08 11:56:55.152653,4,2,0,0
2025-11-08 11:56:56.025143,4,2,0,0
2025-11-08 11:56:56.815470,4,2,0,0
